context_text,question_text,answer_text
"The diagram shows a micrometer screw gauge and a Vernier caliper. Figure A is a micrometer screw gauge with a main scale reading of 3.0 mm. The thimble scale has its 35th mark aligned with the main line. Therefore, the reading for A is 3.0 mm + (35 * 0.01 mm) = 3.35 mm. Figure B is a micrometer screw gauge with a main scale reading of 3.5 mm. The thimble scale has its 35th mark aligned with the main line. Therefore, the reading for B is 3.5 mm + (35 * 0.01 mm) = 3.85 mm. Figure C is a Vernier caliper with a main scale reading of 3.3 cm (or 33 mm) before the Vernier zero mark. The 5th mark on the Vernier scale coincides with a main scale mark. The least count is 0.01 cm (0.1 mm). Therefore, the reading for C is 33 mm + (5 * 0.1 mm) = 33.5 mm. Figure D is a Vernier caliper with a main scale reading of 3.4 cm (or 34 mm) before the Vernier zero mark. The 5th mark on the Vernier scale coincides with a main scale mark. Therefore, the reading for D is 34 mm + (5 * 0.1 mm) = 34.5 mm.",The following diagrams show part of a micrometer screw gauge and part of a Vernier caliper. Which one shows a reading of 33.5 mm?,A Vernier Caliper With A Main Scale Reading Of 3
"The diagram shows an experimental setup for heat insulation. Two plastic cups are placed one inside the other. The inner cup contains hot water. A lid is placed on top of the inner cup. There is a small air gap between the inner and outer cups, and small spacers keep them apart. The outer cup rests on a bench.",Which statement is correct? A Heat loss by radiation is prevented by the small air gap. B No heat passes through the sides of either cup. C The bench is heated by convection from the bottom of the outer cup. D The lid is used to reduce heat loss by convection.,Placed On Top Of The Inner Cup
"The diagram shows a brass rod supported on two parallel copper rails. These rails are connected to a battery (not explicitly shown, but current is implied to flow through the brass rod). A block labeled 'N' (representing the North pole of a magnet) is placed beneath the brass rod, between the rails. The arrows A, B, C, D represent possible directions of force on the brass rod: A is downwards, B is to the right, C is upwards, D is to the left.","In which of the directions A, B, C or D does the brass experience a force?",To The Right
"The speed-time graphs for Car A and Car B are plotted on Figure 1.2 based on the data in Figure 1.1. For Car A, the speed increases linearly from 0 m/s to 60 m/s over 15 seconds, and then remains constant at 60 m/s from 15 seconds to 30 seconds. For Car B, the speed increases linearly from 0 m/s to 60 m/s over 30 seconds.","At the end of 30.0 s, calculate the distance between the two cars.",Distance covered by Car A = Area under Car A's speed-time graph = (½ × 15 × 60) + (15 × 60) = 450 m + 900 m = 1350 m. Distance covered by Car B = Area under Car B's speed-time graph = ½ × 30 × 60 = 900 m. Distance between the cars = Distance A - Distance B = 1350 m - 900 m = 450 m. [2 marks]
"Figure 3.1 shows a car moving forward. The car has a mass of 1000 kg. At three different times (X, Y, Z), two horizontal forces are shown acting on the car: a forward force and a backward force. The 'direction of motion' is indicated as forward (to the right).",State the name of one of the forces that is acting in the opposite direction to the motion of the car.,Either air resistance or friction between the tyres and the ground. [1 mark]
"Figure 5.1 shows the main parts of an electric grill. It consists of a heating element, shiny material, an outer metal case, and food placed under the heating element. The heating element becomes red hot and emits visible light and infrared radiation. The infrared radiation is used to cook the food. There is a physical gap between the heating element and the food.",Explain why heat cannot be transferred by conduction from the heating element to the food.,Air particles are very far apart. Energy cannot be transferred from particle to particle. [2 marks]
Figure 5.1 shows an electric grill with a heating element above the food. The heating element becomes red hot. The infrared radiation is used to cook the food. Heat transfer through convection involves the movement of fluid (liquid or gas).,Explain why heat cannot be transferred by convection from the heating element to the food.,"When the air around the heating element is heated, it becomes less dense. It rises and does not sink to the food. [2 marks]"
Figure 5.1 shows an electric grill. There is a layer of shiny material between the heating element and the outer case on top of the grill.,There is a layer of shiny material between the heating element and the outer case on top of the grill. Explain the function of this layer of shiny material.,"The shiny material is a poor absorber of infrared radiation. So, less heat is lost. [2 marks]"
"Figure 6.1 shows a man P standing some distance from a vertical wall. A second man Q is located 200 m behind P. When P fires a gun, one sound travels directly to Q, and another sound travels to the wall, reflects, and then reaches Q. Q hears the first sound (direct sound from P) 0.625 s after P fires the gun.","If Q hears the first sound 0.625 s after P fires the gun, calculate the speed of sound in air.",speed = distance travelled / time taken = 200 m / 0.625 s = 320 m/s. [1 mark]
"Figure 7.2 shows a longitudinal wave propagating along a spring. The figure shows the position of equally spaced beads (1 cm apart in their undisturbed state) at a particular instant, where some beads are compressed and some are rarefied. The wave is shown as compressions and rarefactions along the horizontal direction.",Explain why the wave is a longitudinal wave.,The wave is a longitudinal wave because the particles are vibrating parallel to the direction in which the sound wave is travelling. [2 marks]
