user,final
"The table shows three functions of cells: absorption, support, and transport. The rows list possible cell types for each function. Row A: red blood cell for absorption, muscle cell for support, root hair cell for transport. Row B: root hair cell for absorption, xylem vessel for support, red blood cell for transport. Row C: muscle cell for absorption, root hair cell for support, xylem vessel for transport. Row D: xylem vessel for absorption, root hair cell for support, muscle cell for transport.Which row shows the correct cell for the stated function? A absorption: red blood cell, support: muscle cell, transport: root hair cell B absorption: root hair cell, support: xylem vessel, transport: red blood cell C absorption: muscle cell, support: root hair cell, transport: xylem vessel D absorption: xylem vessel, support: root hair cell, transport: muscle cell",Root Hair Cell For Absorption
"A table shows four identical pieces of potato treated in two stages. Stage 1 options are Unboiled or Boiled in water for 10 minutes. Stage 2 options are Placed in 20% salt solution for two hours or Placed in distilled water for two hours. Row A: Unboiled, then Placed in 20% salt solution for two hours. Row B: Boiled in water for 10 minutes, then Placed in 20% salt solution for two hours. Row C: Unboiled, then Placed in distilled water for two hours. Row D: Boiled in water for 10 minutes, then Placed in distilled water for two hours.Four identical pieces of potato were treated in two stages as shown. Which piece of potato will be the most turgid after two hours? A Unboiled, Placed in 20% salt solution for two hours B Boiled in water for 10 minutes, Placed in 20% salt solution for two hours C Unboiled, Placed in distilled water for two hours D Boiled in water for 10 minutes, Placed in distilled water for two hours",Boiled In Water For 10 Minutes
"The apparatus consists of two test tubes, Tube C and Tube D, each containing a plastic bag immersed in liquid. The plastic bag in Tube C contains sucrose solution and is immersed in distilled water. The plastic bag in Tube D contains sucrose solution and is immersed in distilled water. Both setups are left for 30 minutes. At the end of this period, no changes were observed in either tube C or D.(a) At the end of 30 minutes, it was observed that no changes were seen in both tube C and tube D. Suggest and explain a possible reason for this.",The plastic bag is not permeable at all (1m). Sucrose and water molecules are unable to travel in and out of the bag (1m).
This question describes carrying out Benedict's Test on the sucrose solution in the plastic bag in tube C. The plastic bag contains sucrose solution.(b) The student decided to carry out Benedict's Test on the sucrose solution in the plastic bag in tube C. State the outcome of the test.,The solution will remain blue.
"The graph (Fig. 5.1) shows the concentration of undigested carbohydrates (arbitrary units) along the alimentary canal (mouth, oesophagus, stomach, small intestine, large intestine). The concentration of undigested carbohydrates starts high, remains constant through the oesophagus, then remains constant in the stomach.(a) Suggest why the amount of undigested carbohydrates remained almost constant in the stomach.",There is no enzyme in the stomach that can break down carbohydrate (1m). OR Protease does not break down carbohydrates (1m).
"The question refers to an experimental setup (Fig. 6.1) involving an Elodea plant in water and sodium hydrogen carbonate solution, exposed to light, with gas collection in an inverted funnel and test-tube. This setup is used for photosynthesis.(a) State the word equation for photosynthesis.",carbon dioxide + water --(sunlight/chlorophyll)--> glucose + oxygen. [1 mark]
"A table provides pulse rates for two students, X and Y, before and at various minute intervals (1 to 6) after 5 minutes of vigorous exercise. For student X: before = 80, after 1 min = 155, 2 min = 124, 3 min = 102, 4 min = 88, 5 min = 80, 6 min = 80. For student Y: before = 64, after 1 min = 109, 2 min = 80, 3 min = 65, 4 min = 64, 5 min = 64, 6 min = 64. A graph grid is provided with 'time after exercise/minute' on the x-axis (0-6) and 'pulse rate' on the y-axis (60-160).(a) Use the data to plot the pulse rates of each student after exercise. Draw two curves of best fit.","Two separate curves of best fit should be drawn on the provided graph grid, one for student X and one for student Y, accurately plotting the given data points. Each correctly drawn curve scores 1 mark. [Total: 2 marks]"
Blood component C is a White blood cell and D is platelets. The question states that both are part of the immune system.(c) Both blood components C and D are part of the immune system. Describe how they each contribute to protecting the body.,For C (White blood cell): to ingest foreign particles OR produce antibodies (1m). For D (Platelets): involve in blood clotting (1m).
This question compares blood taken from a wound infected with bacteria to blood taken from a healthy part of the body.(d) How would blood taken from a wound infected with bacteria be different from blood taken from a healthy part of the body?,Blood taken from an infected wound has a greater/higher amount of white blood cells.
"The diagram shows a cross section through two guard cells of a leaf. The guard cells are kidney-bean shaped and form a stomatal pore between them. Labeled structures include W, which is the nucleus (a large circular structure typically located in the center of each cell), X, which are small oval structures representing mitochondria (responsible for respiration), Y, which is the cell wall (the outermost thick boundary of the plant cell), and Z, which is the vacuole (a large sac-like structure within the cell).Which labelled structures would also be found in an animal cell? A W and X B W and Z C X and Y D Y and Z","The structures that would also be found in an animal cell are W (nucleus) and X (mitochondria). The nucleus (W) controls cell activities and is present in both plant and animal cells. Mitochondria (X) are responsible for cellular respiration and are also present in animal cells. Chloroplasts (if X were interpreted as such), cell walls (Y), and large central vacuoles (Z) are characteristic of plant cells and generally not found in typical animal cells."
