user,final
"The diagram illustrates an experiment involving halogens and aqueous halide ions. The left test tube contains a 'solution containing halide X⁻' to which 'halogen Y₂' is added. The right test tube shows the expected outcome as a 'solution containing halogen X₂ and halide ion Y⁻', implying a displacement reaction where Y₂ (the added halogen) displaces X⁻ (the halide ion in solution). A table is provided which presents four sets of potential observations (A, B, C, D) for specific reactions: Cl₂ + Br⁻, I₂ + Br⁻, and Cl₂ + I⁻. A checkmark (✓) indicates an observation, and an 'x' indicates no observation. The options are:
- A: Cl₂ + Br⁻ (✓), I₂ + Br⁻ (✓), Cl₂ + I⁻ (✓)
- B: Cl₂ + Br⁻ (✓), I₂ + Br⁻ (x), Cl₂ + I⁻ (✓)
- C: Cl₂ + Br⁻ (x), I₂ + Br⁻ (x), Cl₂ + I⁻ (✓)
- D: Cl₂ + Br⁻ (✓), I₂ + Br⁻ (x), Cl₂ + I⁻ (x)The diagram shows an experiment involving halogens and aqueous halide ions.
Which choices of Y₂ and X⁻ give the result shown?

A [Table row with (✓), (✓), (✓)]
B [Table row with (✓), (x), (✓)]
C [Table row with (x), (x), (✓)]
D [Table row with (✓), (x), (x)]","The reactivity of halogens decreases down Group 17: Chlorine (Cl₂) is more reactive than Bromine (Br₂), and Bromine is more reactive than Iodine (I₂). A more reactive halogen will displace a less reactive halide ion from its solution, leading to an observable change (e.g., color formation of the displaced halogen). A less reactive halogen will not displace a more reactive halide ion, resulting in no observation.
1.  **Cl₂ + Br⁻**: Chlorine is more reactive than bromine, so Cl₂ displaces Br⁻ to form Br₂. This reaction occurs, producing an observable change (brown/orange solution). (✓)
2.  **I₂ + Br⁻**: Iodine is less reactive than bromine, so I₂ cannot displace Br⁻. No reaction and therefore no observation. (x)
3.  **Cl₂ + I⁻**: Chlorine is more reactive than iodine, so Cl₂ displaces I⁻ to form I₂. This reaction occurs, producing an observable change (brown solution or purple if extracted into organic solvent). (✓)
Therefore, the correct set of observations is (✓, x, ✓), which corresponds to option B."
"Fig. 1.1 shows a paper chromatogram where four samples (PD1, PD2, PD3, and 'candy sample') were spotted on a 'starting line' at the bottom of a coffee filter paper. The paper was placed in a solvent, which traveled upwards to a 'solvent front' near the top of the paper, separating the components of the samples. PD1 shows one spot slightly above the starting line. PD2 shows two spots, one slightly above the starting line and another higher up. PD3 shows one spot significantly higher than the other spots. The 'candy sample' shows three spots, which precisely match the positions (heights) of the spots from PD1, the higher spot from PD2, and the spot from PD3. The question indicates that PD1, PD2, and PD3 are 'permitted food dyes'.State the separation technique demonstrated by the teacher.","The separation technique demonstrated by the teacher, involving spotting samples on a paper and allowing a solvent to separate components based on their differential movement, is chromatography, specifically paper chromatography."
"Fig. 1.1 shows a paper chromatogram. Three permitted food dyes (PD1, PD2, PD3) were separated, and their spots are visible at specific heights on the paper. A 'candy sample' was also separated, and its components appear as three spots. These three spots from the candy sample align perfectly in height with the spots from PD1, the higher spot from PD2, and the spot from PD3. The question specifies that PD1, PD2, and PD3 are 'permitted food dyes'.Is the candy safe for consumption? Explain your answer.","Yes, the candy is safe for consumption. The chromatogram shows that all the components (dyes) found in the candy sample correspond precisely to the 'permitted food dyes' (PD1, PD2, and PD3) used for comparison. Since it only contains permitted dyes, it is considered safe."
"The question is about chromatography, a separation technique demonstrated in the previous part (Q1a). Chromatography is used to separate components of a mixture based on their differential partitioning between a stationary phase and a mobile phase. Common uses include separating pigments, analyzing drug metabolites, and detecting contaminants.Suggest one other use of chromatography.","Chromatography can be used in forensic science to identify unknown substances, such as drugs in a blood sample or components of an unknown chemical. It is also used in environmental monitoring to detect pollutants in water or air, or to check for pesticides in food."
"The flowchart shows a series of reactions involving different substances. 'Colourless acid solution A' reacts with aqueous barium nitrate to form a 'White precipitate B'. The same 'Colourless acid solution A' reacts with aqueous ammonia to form a 'White salt C'. This 'White salt C' then reacts with aqueous sodium hydroxide when warmed to produce a 'Colourless gas D'.Suggest the identity of A, B, C and D.","1.  'Colourless acid solution A' reacts with aqueous barium nitrate to form 'White precipitate B'. Barium nitrate is used to test for sulfate ions (SO₄²⁻), forming a white precipitate of barium sulfate (BaSO₄). Therefore, A is likely sulfuric acid (H₂SO₄) and B is barium sulfate (BaSO₄).
2.  'Colourless acid solution A' (H₂SO₄) reacts with aqueous ammonia (NH₃) to form 'White salt C'. Acids react with ammonia to form ammonium salts. Sulfuric acid reacting with ammonia would form ammonium sulfate ((NH₄)₂SO₄). So, C is ammonium sulfate.
3.  'White salt C' ((NH₄)₂SO₄) reacts with aqueous sodium hydroxide (NaOH) when warmed to produce 'Colourless gas D'. Ammonium salts react with strong alkalis upon warming to produce ammonia gas (NH₃). So, D is ammonia.
Identities:
A: dilute sulfuric acid / H₂SO₄
B: barium sulfate / BaSO₄
C: ammonium sulfate / (NH₄)₂SO₄
D: ammonia"
"Fig. 3.1 shows six boxes (A-F) containing particle diagrams, along with a key: a black circle represents a carbon atom, a white circle represents a hydrogen atom, and a double white circle represents an oxygen atom. 
- Box A shows identical molecules, each composed of two white circles (H₂).
- Box B shows a mixture of two types of molecules: one type with two white circles (H₂) and another type with two double white circles (O₂).
- Box C shows identical molecules, each composed of one black circle and two double white circles (CO₂).
- Box D shows identical molecules, each composed of one black circle and four white circles (CH₄).
- Box E shows a mixture of two types of molecules: one type with two white circles (H₂) and another type with one black circle and four white circles (CH₄).
- Box F shows identical molecules, each composed of two double white circles (O₂).Which one of A-F best represents pure carbon dioxide?","Carbon dioxide (CO₂) consists of one carbon atom and two oxygen atoms. According to the key, a black circle represents a carbon atom and a double white circle represents an oxygen atom. Box C shows identical molecules, each made of one black circle bonded to two double white circles. Therefore, C best represents pure carbon dioxide."
"Fig. 3.1 shows six boxes (A-F) containing particle diagrams, along with a key: a black circle represents a carbon atom, a white circle represents a hydrogen atom, and a double white circle represents an oxygen atom. 
- Box A shows identical molecules, each composed of two white circles (H₂).
- Box B shows a mixture of two types of molecules: one type with two white circles (H₂) and another type with two double white circles (O₂).
- Box C shows identical molecules, each composed of one black circle and two double white circles (CO₂).
- Box D shows identical molecules, each composed of one black circle and four white circles (CH₄).
- Box E shows a mixture of two types of molecules: one type with two white circles (H₂) and another type with one black circle and four white circles (CH₄).
- Box F shows identical molecules, each composed of two double white circles (O₂).Which one of A-F best represents pure oxygen?","Pure oxygen (O₂) consists of two oxygen atoms. According to the key, a double white circle represents an oxygen atom. Box F shows identical molecules, each made of two double white circles bonded together. Therefore, F best represents pure oxygen."
"Fig. 3.1 shows six boxes (A-F) containing particle diagrams, along with a key: a black circle represents a carbon atom, a white circle represents a hydrogen atom, and a double white circle represents an oxygen atom. 
- Box A shows identical molecules, each composed of two white circles (H₂).
- Box B shows a mixture of two types of molecules: one type with two white circles (H₂) and another type with two double white circles (O₂).
- Box C shows identical molecules, each composed of one black circle and two double white circles (CO₂).
- Box D shows identical molecules, each composed of one black circle and four white circles (CH₄).
- Box E shows a mixture of two types of molecules: one type with two white circles (H₂) and another type with one black circle and four white circles (CH₄).
- Box F shows identical molecules, each composed of two double white circles (O₂).
A compound is a substance formed when two or more chemical elements are chemically bonded together. A mixture of compounds would contain at least two different types of these bonded substances.Which one of A-F best represents a mixture of compounds?","A mixture of compounds would contain at least two different types of molecules, where each type is a compound. 
- A (H₂) and F (O₂) are pure elements. 
- B (H₂ + O₂) is a mixture of elements. 
- C (CO₂) and D (CH₄) are pure compounds, not mixtures.
- E (H₂ + CH₄) is a mixture of an element (H₂) and a compound (CH₄).
Based on the provided options, none of the diagrams A-F exclusively represent a mixture of two or more different compounds."
"Fig. 3.1 shows six boxes (A-F) containing particle diagrams, along with a key: a black circle represents a carbon atom, a white circle represents a hydrogen atom, and a double white circle represents an oxygen atom. 
- Box A shows identical molecules, each composed of two white circles (H₂).
- Box B shows a mixture of two types of molecules: one type with two white circles (H₂) and another type with two double white circles (O₂).
- Box C shows identical molecules, each composed of one black circle and two double white circles (CO₂).
- Box D shows identical molecules, each composed of one black circle and four white circles (CH₄).
- Box E shows a mixture of two types of molecules: one type with two white circles (H₂) and another type with one black circle and four white circles (CH₄).
- Box F shows identical molecules, each composed of two double white circles (O₂).Which one of A-F best represents a mixture of elements?","A mixture of elements contains two or more different types of unbonded elements. According to the key, white circles represent hydrogen atoms, and double white circles represent oxygen atoms.
- Box A shows pure hydrogen (an element).
- Box F shows pure oxygen (an element).
- Box B shows a collection of two-white-circle molecules (H₂) and two-double-white-circle molecules (O₂). This is a mixture of two different elements, hydrogen and oxygen. Therefore, B best represents a mixture of elements."
"Fig. 3.1 shows six boxes (A-F) containing particle diagrams, along with a key: a black circle represents a carbon atom, a white circle represents a hydrogen atom, and a double white circle represents an oxygen atom. 
- Box A shows identical molecules, each composed of two white circles (H₂).
- Box B shows a mixture of two types of molecules: one type with two white circles (H₂) and another type with two double white circles (O₂).
- Box C shows identical molecules, each composed of one black circle and two double white circles (CO₂).
- Box D shows identical molecules, each composed of one black circle and four white circles (CH₄).
- Box E shows a mixture of two types of molecules: one type with two white circles (H₂) and another type with one black circle and four white circles (CH₄).
- Box F shows identical molecules, each composed of two double white circles (O₂).
Complete combustion of hydrocarbons (compounds made of carbon and hydrogen) produces carbon dioxide (CO₂) and water (H₂O).Which one of A-F best represents the products of complete combustion of hydrocarbons?","Complete combustion of hydrocarbons produces carbon dioxide (CO₂) and water (H₂O). 
- Box C represents carbon dioxide (CO₂), which is one of the products.
- Box A represents hydrogen (H₂), Box D represents methane (CH₄), Box E represents a mixture of hydrogen and methane, and Box F represents oxygen (O₂).
While typically both CO₂ and H₂O would be present, among the given options, only C (carbon dioxide) is a direct product of complete hydrocarbon combustion. If the question implies one of the products, C is the best fit."
